state,district,market,commodity,min_price,max_price,modal_price
Uttarakhand,Haridwar,Roorkee APMC,Cauliflower,500,700,600
Uttarakhand,Haridwar,Roorkee APMC,Onion,2000,4000,3000
Uttarakhand,Haridwar,Roorkee APMC,Water Melon,1500,2300,1800
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Tomato,1000,1400,1200
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Potato,200,600,400
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Ginger(Green),5800,6200,6000
Madhya Pradesh,Morena,Sabalgarh(F&V) APMC,Tomato,1000,1000,1000
Uttar Pradesh,Badaun,Babrala APMC,Wood,430,450,440
Assam,Darrang,Balugaon APMC,Bottle gourd,2200,2600,2400
Assam,Darrang,Balugaon APMC,Brinjal,2200,2600,2400
Assam,Darrang,Besimari APMC,Beetroot,1000,1400,1200
Assam,Darrang,Besimari APMC,French Beans(Frasbean),2200,2600,2400
West Bengal,Bankura,Bishnupur(Bankura) APMC,Rice,3600,3800,3700
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Ginger(Green),8000,8500,8250
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Potato,2600,2800,2700
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Cabbage,2300,2500,2400
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Ridgeguard(Tori),3300,3500,3400
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Green Avare(W),3800,4000,3900
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Indian Beans(Seam),6000,6500,6250
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Tomato,1000,1600,1300
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Beans,6500,7000,6750
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Potato,2000,2200,2100
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Garlic,15000,15000,15000
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Chikoos(Sapota),3000,3500,3250
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Bhindi(Ladies Finger),3600,4000,3800
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Green Chilli,3000,4000,3500
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Cabbage,1500,1500,1500
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Chow Chow,1500,1500,1500
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Tender Coconut,2000,3000,2500
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Yam(Ratalu),3000,3500,3250
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Garlic,15000,15000,15000
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Brinjal,2000,2500,2250
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Cluster beans,4000,4000,4000
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Ashgourd,2000,2000,2000
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Bhindi(Ladies Finger),3000,3000,3000
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Banana - Green,4000,4000,4000
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Beans,6600,6600,6600
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Cabbage,2500,2500,2500
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Ridgeguard(Tori),3000,3000,3000
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Guava,3000,3500,3250
